ID,Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
1012,Rubn Adorno Melndez,M,23.0,190.0,91.0,Puerto Rico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
1312,Michael H. G. Ah Matt,M,21.0,188.0,73.0,Australia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
2212,Armenak Alachachyan,M,33.0,176.0,74.0,Soviet Union,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Silver
2950,Alberto Almanza Gonzlez,M,24.0,202.0,82.0,Mexico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
3331,Amaury Antnio Pasos,M,28.0,190.0,90.0,Brazil,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
4453,Martin Ansa Ortz,M,23.0,180.0,70.0,Puerto Rico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
4965,Miguel Arellano Moreno,M,23.0,187.0,81.0,Mexico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
6112,Eulalio Avila Senz,M,23.0,198.0,87.0,Mexico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
6756,Juan Ramn Bez Maurio,M,29.0,189.0,80.0,Puerto Rico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
6824,Mykola Lvovych Bahlei,M,27.0,190.0,88.0,Soviet Union,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Silver
6852,Katsuo Bai,M,23.0,182.0,77.0,Japan,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
7506,Bang Yeol,M,23.0,178.0,66.0,South Korea,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
7958,"Velvet James ""Jim"" Barnes",M,23.0,201.0,109.0,USA,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
9947,Oscar Benalczar,M,21.0,189.0,92.0,Peru,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
9978,Jnos Bencze,M,29.0,198.0,103.0,Hungary,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
10869,"Gianfranco ""Franco"" Bertini",M,26.0,184.0,74.0,Italy,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
11648,"Ubiratan ""Bira"" Pereira Maciel",M,20.0,196.0,96.0,Brazil,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
11734,Walter Allan Birtles,M,27.0,198.0,90.0,Canada,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
12212,Tadeusz Micha Blauth,M,25.0,204.0,75.0,Poland,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
12803,Mikls Bohty,M,28.0,192.0,82.0,Hungary,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
14504,"William Warren ""Bill"" Bradley",M,21.0,196.0,93.0,USA,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
15555,"Lawrence Harvey ""Larry"" Brown",M,24.0,178.0,73.0,USA,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
16187,Sauro Bufalini,M,23.0,197.0,95.0,Italy,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
17417,"Joseph Louis ""Joe"" Caldwell",M,22.0,196.0,89.0,USA,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
17855,ngel Cancel Acevedo,M,24.0,190.0,84.0,Puerto Rico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
21510,Edison Antonio Ciavattone Samprez,M,26.0,182.0,84.0,Uruguay,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
22330,"Kenneth Frank ""Ken"" Cole",M,20.0,204.0,89.0,Australia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
23453,"Melvin Grant ""Mel"" Counts",M,22.0,213.0,102.0,USA,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
24061,"Tefilo ""Teo"" Cruz Downs",M,22.0,200.0,81.0,Puerto Rico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
24487,Vladimir Cvetkovi,M,23.0,196.0,92.0,Yugoslavia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
24553,Krystian Jacek Czernichowski,M,34.0,194.0,81.0,Poland,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
25150,"Mikelis Reinis ""Mike"" Dancis",M,26.0,201.0,105.0,Australia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
25166,Ivo Daneu,M,27.0,183.0,80.0,Yugoslavia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
25603,"Theodore L. S. ""Scott"" Davie",M,24.0,178.0,69.0,Australia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
25616,"Richard Allen ""Dick"" Davies",M,28.0,186.0,80.0,USA,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
26355,Ramiro Eduardo de Len Ibarra,M,26.0,179.0,82.0,Uruguay,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
29963,Zbigniew Dregier,M,29.0,180.0,74.0,Poland,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
30101,Evelio Droz Ramos,M,27.0,190.0,80.0,Puerto Rico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
30225,Enrique Duarte Mungi,M,26.0,190.0,88.0,Peru,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
30231,Luis Duarte Mungi,M,23.0,197.0,88.0,Peru,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
30235,Ral Duarte Mungi,M,19.0,206.0,89.0,Peru,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
30236,Ricardo Duarte Mungi,M,24.0,202.0,91.0,Peru,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
30970,Nemanja uri,M,28.0,195.0,93.0,Yugoslavia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
31456,"Edson ""Edson Bispo"" Bispo dos Santos",M,29.0,195.0,86.0,Brazil,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
31549,Yoshitaka Egawa,M,21.0,185.0,80.0,Japan,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
31760,Vital Eiselt,M,23.0,187.0,78.0,Yugoslavia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
35436,Teijo Uolevi Finneman,M,20.0,183.0,78.0,Finland,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
35688,Ottorino Flaborea,M,24.0,197.0,105.0,Italy,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
37067,Kazimierz Frelkiewicz,M,24.0,181.0,75.0,Poland,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
37266,"Friedrich Wilhelm ""Fritz"" Braun",M,23.0,193.0,92.0,Brazil,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
37336,Jaime Frontera Colley,M,23.0,190.0,96.0,Puerto Rico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
37475,Seiji Fujie,M,23.0,192.0,79.0,Japan,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
37766,Lszl Gabnyi,M,29.0,202.0,95.0,Hungary,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
37846,Manuel Roberto Gadea,M,22.0,186.0,77.0,Uruguay,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
38505,ngel Garca Lucas,M,22.0,188.0,79.0,Puerto Rico,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
38634,Luis Agustin Garca Guido,M,23.0,187.0,85.0,Uruguay,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
38751,John Neville Gardiner,M,21.0,191.0,89.0,Australia,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
